Product name,Product description,Brand name,Quantity,All products images/ videos,Rating,Number of Ratings,MRP,Selling price,Product URL,Affiliate link,All Ingredients,Item Form,Skin Type,Brand,Scent,Material Feature,Material Type Free,Age Range (Description),Number of Items,Net Quantity,Special Feature,Highly rated by customers for
,"POND'S Super Light Gel Oil Free Face Moisturizer 49g, With Hyaluronic Acid & Vitamin E for Fresh Glowing Skin & 24 hr Hydration - Daily Use",,,https://m.media-amazon.com/images/I/413r20qx3tL._AC_UL320_.jpg,,"2,692",,100,https://amazon.in/PONDS-Moisturizer-Hyaluronic-Vitamin-Hydration/dp/B09Z6R5XSK/ref=sr_1_35?qid=1695545594&s=beauty&sr=1-35,,,,,,,,,,,,,
,"Dettol Skincare Moisturizing Beauty Bathing Soap Bar with Argan Oil (600gm) | Softer Skin, 125gm + 20% Extra Free, Pack of 4",,,https://m.media-amazon.com/images/I/51l19NyctDL._AC_UL320_.jpg,,"4,595",,225,https://amazon.in/Dettol-Skincare-Moisturizing-Beauty-Bathing/dp/B0C3VMWQ6J/ref=sr_1_36?qid=1695545594&s=beauty&sr=1-36,,,,,,,,,,,,,
,"Palmolive Iris Flower & Ylang Ylang Essential Oil Aroma Absolute Relax Body Wash I Moisturizing | Soft & Youthful skin I No paraben & silicone, pH balanced, Body Wash 750ml",,,https://m.media-amazon.com/images/I/51RjHrfNzxL._AC_UL320_.jpg,,"11,773",,350,https://amazon.in/Palmolive-Aroma-Therapy-Absolute-Shower/dp/B01KZ8P8G2/ref=sr_1_37?qid=1695545594&s=beauty&sr=1-37,,,,,,,,,,,,,
,"Santoor Classic Handwash Refill, 1500ml",,,https://m.media-amazon.com/images/I/61nDZKWoN0L._AC_UL320_.jpg,,"13,410",,177,https://amazon.in/Santoor-Classic-Natural-goodness-Sandalwood/dp/B083WLDBWW/ref=sr_1_38?qid=1695545594&s=beauty&sr=1-38,,,,,,,,,,,,,
,"Himalaya Herbals Purifying Neem Face Wash, 150ml",,,https://m.media-amazon.com/images/I/61TpPGPXJmL._AC_UL320_.jpg,,"9,129",,155,https://amazon.in/Himalaya-Herbals-Purifying-Neem-150ml/dp/B010Z0LH8I/ref=sr_1_39?qid=1695545594&s=beauty&sr=1-39,,,,,,,,,,,,,
,"Minimalist 2% Salicylic Acid Serum For Acne, Blackheads & Open Pores | Reduces Excess Oil & Bumpy Texture | BHA Based Exfoliant for Acne Prone or Oily Skin | 30ml",,,https://m.media-amazon.com/images/I/51ZtJs3sR+L._AC_UL320_.jpg,,"14,444",,549,https://amazon.in/Minimalist-Salicylic-Exfoliant-Blackheads-Exfoliating/dp/B08GG9M863/ref=sr_1_40?qid=1695545594&s=beauty&sr=1-40,,,,,,,,,,,,,
,"Nivea Fresh Active Original Deodorant for Men, 150ml",,,https://m.media-amazon.com/images/I/719FR9XlJ+L._AC_UL320_.jpg,,"37,239",,142,https://amazon.in/Nivea-Fresh-Active-Original-Deodorant/dp/B00HT03SJY/ref=sr_1_41?qid=1695545594&s=beauty&sr=1-41,,,,,,,,,,,,,
,"Park Avenue Pure Collection Trance Fragrance Body Spray for Men, 135ml",,,https://m.media-amazon.com/images/I/71SE3QtPs0L._AC_UL320_.jpg,,"3,667",,187,https://amazon.in/Park-Avenue-Collection-Trance-Perfume/dp/B01N780ZEL/ref=sr_1_42?qid=1695545594&s=beauty&sr=1-42,,,,,,,,,,,,,
,Mamaearth Ubtan Natural Face Wash for All Skin Type with Turmeric & Saffron for Tan removal and Skin brightning 100 ml - SLS & Paraben Free,,,https://m.media-amazon.com/images/I/51QvV1HZo7L._AC_UL320_.jpg,,"46,741",,224,https://amazon.in/Mamaearth-Natural-Turmeric-Saffron-brightning/dp/B07FPV716J/ref=sr_1_43?qid=1695545594&s=beauty&sr=1-43,,,,,,,,,,,,,
,"Be Bodywise 1% Salicylic Acid Body Wash | Prevents Body Acne, Bumpy skin, Exfoliates & Deep cleanses skin | Paraben & SLS free | Suitable for all skin types | Body Shower Gel 250ml",,,https://m.media-amazon.com/images/I/61t6Hs-y21L._AC_UL320_.jpg,,"4,481",,349,https://amazon.in/Bodywise-Salicylic-Prevent-Cleanse-Paraben/dp/B09SLYBCGW/ref=sr_1_44?qid=1695545594&s=beauty&sr=1-44,,,,,,,,,,,,,
,"Dove Cream Beauty Bathing Soap Bar 125g (Combo Pack of 8) | With Moisturising Cream for Softer Skin & Body, Nourishes Dry Skin more than Ordinary Soap",,,https://m.media-amazon.com/images/I/51hwUO-kAqL._AC_UL320_.jpg,,"9,949",,513,https://amazon.in/Dove-Bathing-Beauty-Moisturising-Glowing/dp/B08S58S29R/ref=sr_1_45?qid=1695545594&s=beauty&sr=1-45,,,,,,,,,,,,,
,"Garnier Skin Naturals, Face Serum, Increases Skin's Glow Instantly and Reduces Spots Overtime, Bright Complete Vitamin C Booster, 30 ml",,,https://m.media-amazon.com/images/I/71KnfjxcPKL._AC_UL320_.jpg,,"26,979",,424,https://amazon.in/Garnier-Light-Complete-VITAMIN-Booster/dp/B08FTQXWC7/ref=sr_1_46?qid=1695545594&s=beauty&sr=1-46,,,,,,,,,,,,,
,"Dot & Key Ceramides Moisturizer With Hyaluronic For Intense Moisturizing, Hydrating Face Cream With Probiotic & Rice Water, Barrier Repair Cream For Dry Skin & Sensitive Skin For Unisex, 100g",,,https://m.media-amazon.com/images/I/51jJq4jToUL._AC_UL320_.jpg,,"1,859",,316,https://amazon.in/Ceramides-Hyaluronic-Hydrating-Probiotic-Barrier/dp/B0BDVG99J5/ref=sr_1_47?qid=1695545594&s=beauty&sr=1-47,,,,,,,,,,,,,
,"Lakme Sun Expert SPF 50 PA+++ Ultra Matte Lotion Sunscreen, Lightweight, Non Sticky, Non Greasy, Blocks Upto 97% Harmful Sunrays, 50 ml",,,https://m.media-amazon.com/images/I/51cfrv-GX5L._AC_UL320_.jpg,,"8,757",,209,https://amazon.in/Expert-Sunscreen-Lightweight-Harmful-Sunrays/dp/B09FMJ8WWR/ref=sr_1_48?qid=1695545594&s=beauty&sr=1-48,,,,,,,,,,,,,
